rank,importance,opcode
230,0.032459017,unknown_0xc0
231,0.030940738,unknown_0xbf
232,0.030546894,calldatacopy
233,0.030104853,unknown_0xe8
234,0.02943916,unknown_0xae
235,0.02903472,invalid_0x6b
236,0.028808922,unknown_0xd2
237,0.028310943,unknown_0xc9
238,0.027352398,unknown_0xcc
239,0.027135847,unknown_0xdc
240,0.02667087,unknown_0xc5
241,0.026170641,sdiv
242,0.025990378,extcodehash
243,0.02552707,invalid_0x6c
244,0.024949482,push21
245,0.023637192,invalid_0x73
246,0.023622302,unknown_0xaf
247,0.023488134,unknown_0xb7
248,0.022406152,unknown_0x1e
249,0.02211811,swap13
250,0.021723084,unofficial_dup
251,0.021489747,push22
252,0.021027945,unknown_0xa8
253,0.020928998,invalid_0x7f
254,0.020574097,unknown_0x5e
255,0.019493343,swap9
256,0.019142212,unknown_0xea
257,0.019107983,invalid_0x6f
258,0.018771619,unknown_0x2a
259,0.018709697,shr
260,0.018676478,unknown_0xe6
261,0.015519361,unknown_0xd7
262,0.015244916,unknown_0xbe
263,0.014959198,unknown_0xd8
264,0.01474377,swap14
265,0.013675629,unknown_0xe1
266,0.013463446,unknown_0xf7
267,0.013399082,create
268,0.012470006,unknown_0xb5
269,0.011593084,jump
270,0.01125555,unknown_0x4b
271,0.01100978,push18
272,0.010135939,pc
273,0.009960563,extcodecopy
274,0.007846898,unknown_0x27
275,0.007649452,swap12
276,0.0075143,unknown_0xe5
277,0.0068814927,unknown_0xbd
278,0.0066995937,unknown_0xb9
279,0.0050222613,unknown_0xd5
280,0.0047066365,unknown_0xc6
281,0.004499092,unknown_0xd6
282,0.003233894,unknown_0xbc
283,0.0029346875,unknown_0xc3
284,0.0012998772,unknown_0xdb
285,0.00013508118,blockhash
